"","X","State","Date","BinaryPiracyIncident","TotalViolentIncidents","TotalCasualties","CoastalCasualties","InlandCasualties","CoastalIncidents","InlandIncidents","GDPpc","Population","Unemployment","FishStocks","Military","Trade","CoastlineLength","Ports","ChokepointDistance1","ChokepointDistance2","Chokepoints","MajorShippingLane","OngoingCivilWar","StateFragility","StateReach","CountPiracyIncidents","Monsoon","Year"
"1",2751,"Djibouti","Feb 1995",0,0,0,0,0,0,0,789.5517691,630388,10.68000031,1506.810555,2.83417835,NA,314,1,119,119,4,1,0,18,0.00613159850642385,0,0,"1995"
"2",2752,"Djibouti","Mar 1995",0,0,0,0,0,0,0,789.5517691,630388,10.68000031,1506.810555,2.83417835,NA,314,1,119,119,4,1,0,18,0.00613159850642385,0,0,"1995"
"3",2753,"Djibouti","Apr 1995",0,2,10,10,0,1,1,789.5517691,630388,10.68000031,1506.810555,2.83417835,NA,314,1,119,119,4,1,0,18,0.00613159850642385,0,0,"1995"
"4",2754,"Djibouti","May 1995",1,0,0,0,0,0,0,789.5517691,630388,10.68000031,1506.810555,2.83417835,NA,314,1,119,119,4,1,0,18,0.00613159850642385,1,0,"1995"
"5",2755,"Djibouti","Jun 1995",0,0,0,0,0,0,0,789.5517691,630388,10.68000031,1506.810555,2.83417835,NA,314,1,119,119,4,1,0,18,0.00613159850642385,0,0,"1995"
"6",2756,"Djibouti","Jul 1995",0,0,0,0,0,0,0,789.5517691,630388,10.68000031,1506.810555,2.83417835,NA,314,1,119,119,4,1,0,18,0.00613159850642385,0,0,"1995"
"7",2757,"Djibouti","Aug 1995",0,0,0,0,0,0,0,789.5517691,630388,10.68000031,1506.810555,2.83417835,NA,314,1,119,119,4,1,0,18,0.00613159850642385,0,0,"1995"
"8",2758,"Djibouti","Sep 1995",0,1,7,7,0,1,0,789.5517691,630388,10.68000031,1506.810555,2.83417835,NA,314,1,119,119,4,1,0,18,0.00613159850642385,0,0,"1995"
"9",2759,"Djibouti","Oct 1995",0,0,0,0,0,0,0,789.5517691,630388,10.68000031,1506.810555,2.83417835,NA,314,1,119,119,4,1,0,18,0.00613159850642385,0,0,"1995"
"10",2760,"Djibouti","Nov 1995",0,0,0,0,0,0,0,789.5517691,630388,10.68000031,1506.810555,2.83417835,NA,314,1,119,119,4,1,0,18,0.00613159850642385,0,0,"1995"
"11",2761,"Djibouti","Dec 1995",0,0,0,0,0,0,0,789.5517691,630388,10.68000031,1506.810555,2.83417835,NA,314,1,119,119,4,1,0,18,0.00613159850642385,0,0,"1995"
"12",2762,"Djibouti","Jan 1996",0,0,0,0,0,0,0,767.500315,643654,10.70100021,1573.957957,1.350969906,NA,314,1,119,119,4,1,0,16,0.00613159850642385,0,0,"1996"
"13",2763,"Djibouti","Feb 1996",0,0,0,0,0,0,0,767.500315,643654,10.70100021,1573.957957,1.350969906,NA,314,1,119,119,4,1,0,16,0.00613159850642385,0,0,"1996"
"14",2764,"Djibouti","Mar 1996",0,0,0,0,0,0,0,767.500315,643654,10.70100021,1573.957957,1.350969906,NA,314,1,119,119,4,1,0,16,0.00613159850642385,0,0,"1996"
