"","X","State","Date","BinaryPiracyIncident","TotalViolentIncidents","TotalCasualties","CoastalCasualties","InlandCasualties","CoastalIncidents","InlandIncidents","GDPpc","Population","Unemployment","FishStocks","Military","Trade","CoastlineLength","Ports","ChokepointDistance1","ChokepointDistance2","Chokepoints","MajorShippingLane","OngoingCivilWar","StateFragility","StateReach","CountPiracyIncidents","Monsoon","Year"
"1",551,"Bangladesh","Feb 1995",0,0,0,0,0,0,0,329.4240846,115169930,2.457999945,676392.1274,3.637403468,28.20949608,580,2,1455,1394,2,0,0,20,1.24225143821,0,0,"1995"
"2",552,"Bangladesh","Mar 1995",0,1,1,1,0,1,0,329.4240846,115169930,2.457999945,676392.1274,3.637403468,28.20949608,580,2,1455,1394,2,0,0,20,1.24225143821,0,0,"1995"
"3",553,"Bangladesh","Apr 1995",0,1,1,1,0,1,0,329.4240846,115169930,2.457999945,676392.1274,3.637403468,28.20949608,580,2,1455,1394,2,0,0,20,1.24225143821,0,0,"1995"
"4",554,"Bangladesh","May 1995",0,0,0,0,0,0,0,329.4240846,115169930,2.457999945,676392.1274,3.637403468,28.20949608,580,2,1455,1394,2,0,0,20,1.24225143821,0,0,"1995"
"5",555,"Bangladesh","Jun 1995",0,0,0,0,0,0,0,329.4240846,115169930,2.457999945,676392.1274,3.637403468,28.20949608,580,2,1455,1394,2,0,0,20,1.24225143821,0,1,"1995"
"6",556,"Bangladesh","Jul 1995",0,3,5,5,0,3,0,329.4240846,115169930,2.457999945,676392.1274,3.637403468,28.20949608,580,2,1455,1394,2,0,0,20,1.24225143821,0,1,"1995"
"7",557,"Bangladesh","Aug 1995",1,0,0,0,0,0,0,329.4240846,115169930,2.457999945,676392.1274,3.637403468,28.20949608,580,2,1455,1394,2,0,0,20,1.24225143821,1,1,"1995"
"8",558,"Bangladesh","Sep 1995",0,2,1,1,0,2,0,329.4240846,115169930,2.457999945,676392.1274,3.637403468,28.20949608,580,2,1455,1394,2,0,0,20,1.24225143821,0,1,"1995"
"9",559,"Bangladesh","Oct 1995",0,2,3,3,0,2,0,329.4240846,115169930,2.457999945,676392.1274,3.637403468,28.20949608,580,2,1455,1394,2,0,0,20,1.24225143821,0,1,"1995"
"10",560,"Bangladesh","Nov 1995",1,3,2,2,0,3,0,329.4240846,115169930,2.457999945,676392.1274,3.637403468,28.20949608,580,2,1455,1394,2,0,0,20,1.24225143821,1,0,"1995"
"11",561,"Bangladesh","Dec 1995",0,0,0,0,0,0,0,329.4240846,115169930,2.457999945,676392.1274,3.637403468,28.20949608,580,2,1455,1394,2,0,0,20,1.24225143821,0,0,"1995"
"12",562,"Bangladesh","Jan 1996",1,1,1,1,0,1,0,394.7174751,117649932,2.50999999,697908.3634,1.114480186,26.07608772,580,2,1455,1394,2,0,0,20,1.24225143821,1,0,"1996"
"13",563,"Bangladesh","Feb 1996",0,0,0,0,0,0,0,394.7174751,117649932,2.50999999,697908.3634,1.114480186,26.07608772,580,2,1455,1394,2,0,0,20,1.24225143821,0,0,"1996"
"14",564,"Bangladesh","Mar 1996",1,6,5,5,0,6,0,394.7174751,117649932,2.50999999,697908.3634,1.114480186,26.07608772,580,2,1455,1394,2,0,0,20,1.24225143821,1,0,"1996"
"15",565,"Bangladesh","Apr 1996",0,4,2,2,0,4,0,394.7174751,117649932,2.50999999,697908.3634,1.114480186,26.07608772,580,2,1455,1394,2,0,0,20,1.24225143821,0,0,"1996"
"16",566,"Bangladesh","May 1996",1,0,0,0,0,0,0,394.7174751,117649932,2.50999999,697908.3634,1.114480186,26.07608772,580,2,1455,1394,2,0,0,20,1.24225143821,1,0,"1996"
"17",567,"Bangladesh","Jun 1996",0,2,1,1,0,2,0,394.7174751,117649932,2.50999999,697908.3634,1.114480186,26.07608772,580,2,1455,1394,2,0,0,20,1.24225143821,0,1,"1996"
"18",568,"Bangladesh","Jul 1996",0,3,3,3,0,3,0,394.7174751,117649932,2.50999999,697908.3634,1.114480186,26.07608772,580,2,1455,1394,2,0,0,20,1.24225143821,0,1,"1996"
"19",569,"Bangladesh","Aug 1996",0,2,1,1,0,2,0,394.7174751,117649932,2.50999999,697908.3634,1.114480186,26.07608772,580,2,1455,1394,2,0,0,20,1.24225143821,0,1,"1996"
"20",570,"Bangladesh","Sep 1996",1,1,3,3,0,1,0,394.7174751,117649932,2.50999999,697908.3634,1.114480186,26.07608772,580,2,1455,1394,2,0,0,20,1.24225143821,1,1,"1996"
"21",571,"Bangladesh","Oct 1996",0,2,31,31,0,2,0,394.7174751,117649932,2.50999999,697908.3634,1.114480186,26.07608772,580,2,1455,1394,2,0,0,20,1.24225143821,0,1,"1996"
